 Mh1     Mh2     Mhc       MR     ld345   ld     a        Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)     Br(H->h-h+)    Br(H->AA)       Width_H   
10.00   11.00   11.00   3000.00   0.1   1.0   2.00     2.433E-02      4.603E-07     2.421E-01      2.449E-01       4.897E-01      6.482E-05      1.903E-01  
11.00   12.00   12.00   3000.00   0.1   1.0   2.00     2.072E-02      3.864E-07     2.419E-01      2.449E-01       4.898E-01      6.503E-05      1.900E-01  
12.00   13.00   13.00   3000.00   0.1   1.0   2.00     1.830E-02      3.290E-07     2.416E-01      2.450E-01       4.899E-01      6.523E-05      1.895E-01  
13.00   14.00   14.00   3000.00   0.1   1.0   2.00     1.659E-02      2.835E-07     2.414E-01      2.450E-01       4.900E-01      6.544E-05      1.891E-01  
14.00   15.00   15.00   3000.00   0.1   1.0   2.00     1.532E-02      2.468E-07     2.412E-01      2.451E-01       4.901E-01      6.564E-05      1.885E-01  
15.00   16.00   16.00   3000.00   0.1   1.0   2.00     1.434E-02      2.168E-07     2.410E-01      2.451E-01       4.902E-01      6.585E-05      1.880E-01  
16.00   17.00   17.00   3000.00   0.1   1.0   2.00     1.355E-02      1.920E-07     2.408E-01      2.452E-01       4.903E-01      6.605E-05      1.873E-01  
17.00   18.00   18.00   3000.00   0.1   1.0   2.00     1.289E-02      1.711E-07     2.406E-01      2.452E-01       4.904E-01      6.624E-05      1.866E-01  
18.00   19.00   19.00   3000.00   0.1   1.0   2.00     1.229E-02      1.536E-07     2.404E-01      2.452E-01       4.905E-01      6.644E-05      1.859E-01  
19.00   20.00   20.00   3000.00   0.1   1.0   2.00     1.173E-02      1.385E-07     2.402E-01      2.453E-01       4.906E-01      6.663E-05      1.851E-01  
20.00   21.00   21.00   3000.00   0.1   1.0   2.00     1.118E-02      1.256E-07     2.400E-01      2.453E-01       4.906E-01      6.682E-05      1.842E-01  
21.00   22.00   22.00   3000.00   0.1   1.0   2.00     1.061E-02      1.144E-07     2.398E-01      2.453E-01       4.907E-01      6.701E-05      1.833E-01  
22.00   23.00   23.00   3000.00   0.1   1.0   2.00     1.001E-02      1.047E-07     2.396E-01      2.454E-01       4.907E-01      6.720E-05      1.823E-01  
23.00   24.00   24.00   3000.00   0.1   1.0   2.00     9.376E-03      9.611E-08     2.394E-01      2.454E-01       4.908E-01      6.738E-05      1.813E-01  
24.00   25.00   25.00   3000.00   0.1   1.0   2.00     8.691E-03      8.856E-08     2.392E-01      2.454E-01       4.908E-01      6.756E-05      1.802E-01  
25.00   26.00   26.00   3000.00   0.1   1.0   2.00     7.958E-03      8.186E-08     2.390E-01      2.454E-01       4.909E-01      6.774E-05      1.790E-01  
26.00   27.00   27.00   3000.00   0.1   1.0   2.00     7.183E-03      7.589E-08     2.388E-01      2.455E-01       4.909E-01      6.793E-05      1.777E-01  
27.00   28.00   28.00   3000.00   0.1   1.0   2.00     6.373E-03      7.056E-08     2.386E-01      2.455E-01       4.909E-01      6.811E-05      1.764E-01  
28.00   29.00   29.00   3000.00   0.1   1.0   2.00     5.543E-03      6.577E-08     2.384E-01      2.455E-01       4.909E-01      6.829E-05      1.750E-01  
29.00   30.00   30.00   3000.00   0.1   1.0   2.00     4.708E-03      6.145E-08     2.382E-01      2.455E-01       4.909E-01      6.847E-05      1.736E-01  
30.00   31.00   31.00   3000.00   0.1   1.0   2.00     3.886E-03      5.754E-08     2.380E-01      2.455E-01       4.909E-01      6.866E-05      1.720E-01  
31.00   32.00   32.00   3000.00   0.1   1.0   2.00     3.088E-03      5.399E-08     2.378E-01      2.454E-01       4.909E-01      6.885E-05      1.704E-01  
32.00   33.00   33.00   3000.00   0.1   1.0   2.00     2.328E-03      5.076E-08     2.376E-01      2.454E-01       4.909E-01      6.905E-05      1.687E-01  
33.00   34.00   34.00   3000.00   0.1   1.0   2.00     1.633E-03      4.782E-08     2.374E-01      2.454E-01       4.908E-01      6.925E-05      1.669E-01  
34.00   35.00   35.00   3000.00   0.1   1.0   2.00     1.021E-03      4.512E-08     2.372E-01      2.454E-01       4.907E-01      6.946E-05      1.651E-01  
35.00   36.00   36.00   3000.00   0.1   1.0   2.00     5.528E-04      4.264E-08     2.370E-01      2.453E-01       4.907E-01      6.968E-05      1.631E-01  
36.00   37.00   37.00   3000.00   0.1   1.0   2.00     2.645E-04      4.036E-08     2.368E-01      2.453E-01       4.906E-01      6.991E-05      1.611E-01  
37.00   38.00   38.00   3000.00   0.1   1.0   2.00     1.159E-04      3.826E-08     2.367E-01      2.452E-01       4.904E-01      7.016E-05      1.589E-01  
38.00   39.00   39.00   3000.00   0.1   1.0   2.00     5.383E-05      3.632E-08     2.365E-01      2.452E-01       4.903E-01      7.042E-05      1.567E-01  
39.00   40.00   40.00   3000.00   0.1   1.0   2.00     4.264E-05      3.453E-08     2.363E-01      2.451E-01       4.901E-01      7.071E-05      1.543E-01  
40.00   41.00   41.00   3000.00   0.1   1.0   2.00     1.191E-04      3.286E-08     2.362E-01      2.450E-01       4.899E-01      7.102E-05      1.518E-01  
41.00   42.00   42.00   3000.00   0.1   1.0   2.00     2.399E-04      3.131E-08     2.360E-01      2.449E-01       4.897E-01      7.135E-05      1.493E-01  
42.00   43.00   43.00   3000.00   0.1   1.0   2.00     2.145E-04      2.987E-08     2.359E-01      2.447E-01       4.894E-01      7.173E-05      1.465E-01  
43.00   44.00   44.00   3000.00   0.1   1.0   2.00     1.294E-04      2.853E-08     2.357E-01      2.446E-01       4.891E-01      7.214E-05      1.437E-01  
44.00   45.00   45.00   3000.00   0.1   1.0   2.00     8.940E-05      2.727E-08     2.356E-01      2.444E-01       4.888E-01      7.261E-05      1.407E-01  
45.00   46.00   46.00   3000.00   0.1   1.0   2.00     1.392E-04      2.610E-08     2.355E-01      2.442E-01       4.884E-01      7.314E-05      1.375E-01  
46.00   47.00   47.00   3000.00   0.1   1.0   2.00     3.963E-04      2.500E-08     2.354E-01      2.440E-01       4.879E-01      7.374E-05      1.342E-01  
47.00   48.00   48.00   3000.00   0.1   1.0   2.00     7.792E-04      2.397E-08     2.353E-01      2.437E-01       4.874E-01      7.443E-05      1.307E-01  
48.00   49.00   49.00   3000.00   0.1   1.0   2.00     1.198E-03      2.300E-08     2.353E-01      2.434E-01       4.868E-01      7.522E-05      1.270E-01  
49.00   50.00   50.00   3000.00   0.1   1.0   2.00     1.602E-03      2.208E-08     2.353E-01      2.430E-01       4.860E-01      7.615E-05      1.231E-01  
50.00   51.00   51.00   3000.00   0.1   1.0   2.00     2.012E-03      2.123E-08     2.353E-01      2.426E-01       4.852E-01      7.724E-05      1.190E-01  
