#title u, U -> Z, ~h1, ~h1;U, u -> Z, ~h1, ~h1;d, D -> Z, ~h1, ~h1;D, d -> Z, ~h1, ~h1
#yName Diff. cross section [pb/GeV]{h}
#xName T(Z)
#xMin 0.000000E+00
#xMax 1.500000E+03
#xDim 100
#---   starting of data ---
#  Diff. cross   d(Diff. cros
 1.680765E-08    3.253484E-10
 4.598417E-08    5.879724E-10
 6.827105E-08    6.972848E-10
 7.909834E-08    7.500215E-10
 8.183517E-08    7.616961E-10
 8.081161E-08    1.151131E-09
 7.425598E-08    7.481850E-10
 6.780021E-08    7.270658E-10
 5.984463E-08    7.411401E-10
 5.352625E-08    6.437178E-10
 4.768299E-08    9.683017E-10
 4.101984E-08    5.612577E-10
 3.609228E-08    5.160766E-10
 3.051946E-08    4.825267E-10
 2.707162E-08    4.452982E-10
 2.379611E-08    4.202509E-10
 2.067683E-08    3.843202E-10
 1.832469E-08    6.250358E-10
 1.543664E-08    4.835220E-10
 1.277187E-08    3.066058E-10
 1.121935E-08    2.803359E-10
 9.739736E-09    2.672556E-10
 8.232368E-09    4.629738E-10
 6.384419E-09    2.134697E-10
 5.212459E-09    1.955870E-10
 3.774923E-09    1.706431E-10
 2.729204E-09    1.364392E-10
 1.669491E-09    1.117993E-10
 8.970525E-10    8.705635E-11
 3.391344E-10    4.487347E-11
 2.314803E-10    3.867967E-11
 1.283378E-10    2.496803E-11
 1.603276E-10    4.631528E-11
 1.183273E-10    3.568043E-11
 1.230717E-10    3.289476E-11
 9.508406E-11    3.023809E-11
 5.140000E-11    1.859254E-11
 2.234369E-11    6.709855E-12
 3.701298E-11    1.435237E-11
 1.104349E-10    7.251466E-11
 8.344198E-12    3.621549E-12
 7.198028E-12    4.128408E-12
 8.499332E-12    5.898926E-12
 4.629573E-12    2.680370E-12
 2.967708E-11    1.468009E-11
 1.431115E-11    7.302955E-12
 4.905403E-12    4.782733E-12
 1.792258E-11    6.962091E-12
 1.850538E-11    1.185659E-11
 4.106316E-12    2.323903E-12
 1.608663E-11    8.809901E-12
 2.619963E-12    1.337220E-12
 7.672473E-12    3.971202E-12
 4.736606E-11    3.377899E-11
 1.082390E-11    5.257340E-12
 2.193786E-12    1.060565E-12
 6.914444E-12    4.627925E-12
 5.052313E-13    3.624025E-13
 4.442977E-13    2.811567E-13
 8.608677E-13    6.086408E-13
 2.458762E-12    2.084905E-12
 1.441346E-12    9.295067E-13
 1.296000E-12    6.567445E-13
 4.937417E-13    3.720121E-13
 6.311659E-13    4.114380E-13
 1.812389E-12    1.108207E-12
 2.991487E-12    2.276617E-12
 1.457226E-11    8.992999E-12
 1.062015E-12    5.689661E-13
 1.827549E-12    1.818524E-12
 1.119437E-14    1.073439E-14
 1.872173E-14    1.271558E-14
 4.016434E-13    2.781812E-13
 5.995962E-13    5.073502E-13
 3.575515E-13    2.418832E-13
 2.343535E-13    2.117896E-13
 1.966132E-13    1.955006E-13
 1.356480E-12    1.158010E-12
 6.364636E-14    4.016388E-14
 2.822060E-15    2.559305E-15
 6.486178E-13    4.291375E-13
 1.233954E-13    1.233929E-13
 2.132125E-13    1.920069E-13
 1.889700E-13    1.544173E-13
 4.866670E-15    4.152025E-15
 1.618639E-12    9.563766E-13
 7.299180E-14    4.759506E-14
 2.534074E-14    2.376096E-14
 6.118214E-13    6.043449E-13
 2.493210E-14    2.287336E-14
 3.800049E-19    3.096296E-19
 7.986549E-15    4.509985E-15
 9.454016E-14    9.326434E-14
 6.808192E-16    4.538713E-16
 5.474955E-14    5.467298E-14
 7.462927E-13    7.431611E-13
 1.291100E-14    1.169416E-14
 7.259511E-15    7.127459E-15
 2.710986E-14    2.685145E-14
 2.245386E-14    2.212490E-14
