x	Curve1
6.17669	9.75513E-08
6.17674	9.63495E-08
6.21911	0.000000094
6.21922	9.16885E-08
6.21939	8.83414E-08
6.26182	9.05589E-08
6.26193	8.83414E-08
6.30488	8.61781E-08
6.30494	8.51164E-08
6.30506	0.000000083
6.34824	0.000000082
6.34836	0.00000008
6.3919	0.000000078
6.39196	7.70806E-08
6.39202	7.61309E-08
6.39214	7.42667E-08
6.39225	7.24481E-08
6.43604	7.15556E-08
6.4361	7.0674E-08
6.43615	6.98033E-08
6.4803	6.8094E-08
6.52474	6.64266E-08
6.52504	6.24344E-08
6.52516	6.09055E-08
6.56992	5.94141E-08
6.56998	5.86822E-08
6.57016	5.65399E-08
6.61522	5.51554E-08
6.6154	5.31419E-08
6.66078	5.18406E-08
6.66102	4.93328E-08
6.70658	4.93328E-08
6.75308	4.35813E-08
6.84641	3.85003E-08
6.94103	0.000000034
7.03695	0.00000003
7.13421	2.65434E-08
7.23274	2.37413E-08
7.28288	0.000000021
7.43404	1.85282E-08
7.53678	1.63681E-08
7.64094	1.44598E-08
7.74647	1.29333E-08
7.85352	1.14255E-08
7.96206	1.00934E-08
8.12732	8.91665E-09
8.23956	0.000000008
8.35343	0.000000007
8.46888	6.22412E-09
8.58592	5.49848E-09
8.76404	4.91802E-09
8.88517	4.34464E-09
9.06958	3.83812E-09
9.19484	3.43294E-09
9.38568	0.000000003
9.51539	2.67914E-09
9.71279	2.39631E-09
9.84703	2.11693E-09
10.0514	1.87013E-09
10.2599	1.6727E-09
10.4729	1.47769E-09
10.6901	1.32169E-09
10.912	1.1676E-09
11.1384	0.000000001
11.3696	9.22586E-10
11.6848	8.25191E-10
11.9273	7.28985E-10
12.2581	6.52028E-10
12.5124	5.83196E-10
12.8594	5.15203E-10
13.216	4.60815E-10
13.5824	4.12168E-10
13.959	3.68656E-10
14.3461	3.29738E-10
14.7439	2.94929E-10
15.2564	2.63794E-10
15.7866	2.35946E-10
16.3352	2.1367E-10
17.0186	1.91114E-10
17.7304	1.73071E-10
18.3465	1.56731E-10
19.1139	1.41934E-10
19.9133	1.28534E-10
20.8881	1.16399E-10
21.9103	1.08056E-10
23.1396	1.0031E-10
24.4379	9.31203E-11
25.8089	8.75239E-11
27.4431	8.22638E-11
29.38	7.92607E-11
31.2395	7.73198E-11
33.444	7.54264E-11
35.8034	7.54264E-11
38.3292	7.54264E-11
40.754	7.63672E-11
43.6283	7.82842E-11
46.7053	8.02493E-11
49.6596	8.22638E-11
53.1614	8.53806E-11
56.5241	8.75239E-11
60.5101	9.084E-11
64.3364	9.54578E-11
68.4053	9.90746E-11
73.2284	1.04111E-10
77.859	1.09403E-10
82.7831	1.13549E-10
88.0179	1.19321E-10
93.5837	1.25386E-10
99.5005	1.33404E-10
105.792	1.40185E-10
112.481	1.49149E-10
119.594	1.56731E-10
127.155	1.66753E-10
135.196	1.75229E-10
143.743	1.86434E-10
152.832	1.98355E-10
162.496	2.08438E-10
171.596	2.21766E-10
182.445	2.35946E-10
193.98	2.51033E-10
206.245	2.67085E-10
217.797	2.80662E-10
231.567	2.98608E-10
246.208	3.17701E-10
261.774	3.38016E-10
278.325	3.59629E-10
293.914	3.77911E-10
312.497	4.02075E-10
332.254	4.27784E-10
353.261	4.55138E-10
373.044	4.8424E-10
396.634	5.08856E-10
421.711	5.41393E-10
448.374	5.76011E-10
473.483	6.12842E-10
503.419	6.52028E-10
535.248	6.9372E-10
569.094	7.28985E-10
600.964	7.75598E-10
638.96	8.25191E-10
679.358	8.77955E-10
722.311	9.34093E-10
762.761	0.000000001
810.994	0.000000001
862.269	1.11112E-09
916.786	1.18217E-09
968.128	1.25776E-09
1029.34	1.33818E-09
1094.43	1.4062E-09
1163.62	1.49612E-09
1237.19	1.59178E-09
1306.48	1.69357E-09
1389.08	1.80186E-09
1476.9	1.91707E-09
1570.3	0.000000002
1658.23	2.14334E-09
1763.08	2.28038E-09
1874.55	2.4262E-09
1993.07	2.58133E-09
2104.68	2.74639E-09
2237.77	2.886E-09
2379.25	3.07053E-09
2529.68	3.26687E-09
2671.35	3.47576E-09
2840.24	3.69801E-09
3019.82	3.93446E-09
3210.77	4.13447E-09
3390.58	4.39884E-09
3604.95	4.68011E-09
3832.87	0.000000005
4075.21	5.29775E-09
4303.47	5.56706E-09
4575.55	5.92303E-09
4864.84	6.30176E-09
5172.42	6.7047E-09
5499.45	7.13341E-09
5807.42	7.58954E-09
6174.66	0.000000008
6565.05	8.48531E-09
6980.12	0.000000009
7371.02	9.60513E-09
7837.05	1.02193E-08
8332.63	1.07388E-08
8859.46	1.14255E-08
9355.6	1.2156E-08

