 Mh1       Mh2        Mhc       MR        ld345          ld        a        Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)     Br(H->h-h+)    Br(H->AA)       Width_H   
1041.39   1049.29   1050.16   4216.80   -2.534E-01   3.422E+00   3.58     1.193E-01      3.254E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1741.31   1750.40   1743.01   4031.59   -8.803E-01   9.230E-01   3.90     1.175E-01      1.406E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1166.89   1175.18   1175.06   3647.04   -1.864E-01   3.317E+00   3.03     1.195E-01      1.404E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1088.79   1098.59   1096.60   2867.58   -4.595E-01   3.382E+00   4.88     1.177E-01      9.793E-10     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
1477.32   1479.97   1486.58   4171.63   -1.512E-01   3.968E+00   4.70     1.192E-01      5.760E-11     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
913.09   913.34   920.79   3531.31   -3.820E-01   2.572E+00   3.48     1.185E-01      9.620E-10     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
665.02   665.31   667.56   4034.94   1.201E-01   1.689E+00   3.22     1.183E-01      1.790E-10     0.000E+00      0.000E+00       0.000E+00      2.207E-03      4.392E-03  
1226.46   1230.64   1227.47   3765.73   4.743E-01   2.671E-01   3.91     1.181E-01      8.226E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1361.77   1362.22   1367.85   3430.87   -8.149E-01   1.116E+00   3.02     1.173E-01      1.970E-09     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
825.21   829.76   830.83   2690.00   -3.510E-03   2.794E+00   3.68     1.174E-01      9.941E-14     0.000E+00      0.000E+00       0.000E+00      2.207E-03      4.392E-03  
1720.44   1724.00   1726.61   4352.59   3.188E-01   3.180E+00   3.85     1.179E-01      1.890E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1074.54   1079.49   1081.52   3164.53   -6.802E-01   3.928E+00   3.07     1.192E-01      2.203E-09     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
1238.32   1242.78   1241.75   3692.66   3.394E-01   4.433E-01   4.96     1.176E-01      4.132E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1147.13   1157.10   1156.83   4330.87   -5.804E-01   3.289E+00   3.30     1.186E-01      1.408E-09     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1075.72   1076.33   1078.63   4317.19   3.991E-01   1.865E+00   4.53     1.189E-01      7.568E-10     0.000E+00      0.000E+00       0.000E+00      2.207E-03      4.392E-03  
905.12   909.53   913.88   3046.80   -2.554E-01   1.852E+00   3.83     1.180E-01      4.378E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1108.86   1112.03   1109.87   4012.13   4.462E-01   2.750E+00   4.45     1.188E-01      8.905E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1670.61   1671.44   1679.27   4377.22   -2.483E-02   3.264E+00   3.42     1.175E-01      1.216E-12     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
891.77   894.49   900.27   2729.92   -2.637E-01   3.144E+00   3.28     1.173E-01      4.807E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1719.22   1729.07   1727.17   3914.69   -9.083E-01   4.120E+00   3.46     1.189E-01      1.536E-09     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
1003.70   1010.46   1009.37   3987.12   -6.374E-01   3.065E+00   4.22     1.180E-01      2.217E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
701.37   707.78   702.07   3244.96   4.175E-03   3.234E+00   3.71     1.194E-01      1.946E-13     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
712.95   713.54   716.21   4253.27   1.337E-01   2.001E+00   3.07     1.176E-01      1.932E-10     0.000E+00      0.000E+00       0.000E+00      2.207E-03      4.392E-03  
811.87   818.66   819.34   2914.29   -2.700E-01   1.563E+00   4.33     1.173E-01      6.079E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1182.84   1182.86   1190.57   4097.38   -6.282E-01   4.207E+00   4.71     1.182E-01      1.551E-09     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
1306.63   1313.84   1310.63   3443.71   1.899E-01   1.937E+00   3.51     1.190E-01      1.161E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1150.79   1158.67   1155.30   2832.44   -6.243E-01   2.995E+00   4.95     1.180E-01      1.618E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1545.96   1550.01   1548.05   3769.14   5.497E-01   2.374E-01   3.40     1.184E-01      6.956E-10     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1051.12   1057.74   1056.54   3703.78   6.294E-02   2.358E-01   4.96     1.188E-01      1.971E-11     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
664.77   670.50   668.19   3683.56   -1.909E-01   4.279E+00   3.57     1.193E-01      4.532E-10     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
2002.81   2007.17   2011.99   4487.73   -9.729E-01   3.600E+00   3.77     1.189E-01      1.298E-09     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
905.60   909.90   912.47   4489.55   -1.751E-02   2.178E+00   3.79     1.185E-01      2.054E-12     0.000E+00      0.000E+00       0.000E+00      2.207E-03      4.392E-03  
1180.38   1180.91   1182.93   3686.39   4.789E-01   1.481E-01   3.69     1.188E-01      9.052E-10     0.000E+00      0.000E+00       0.000E+00      2.207E-03      4.392E-03  
1046.72   1048.48   1051.95   3074.14   -6.009E-01   3.310E+00   4.93     1.194E-01      1.812E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1086.94   1088.19   1090.34   2901.95   -6.171E-01   1.322E-01   3.37     1.193E-01      1.772E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1049.56   1055.86   1055.03   3892.21   -6.846E-01   8.204E-01   4.41     1.174E-01      2.339E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1284.32   1288.41   1291.40   3367.14   5.539E-02   1.778E+00   4.39     1.192E-01      1.023E-11     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1524.47   1526.18   1524.52   3454.73   -6.305E-01   3.112E+00   3.58     1.186E-01      9.410E-10     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1664.20   1664.88   1668.63   4142.84   -1.075E+00   1.274E+00   4.43     1.172E-01      2.297E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1438.15   1439.77   1439.67   3738.18   -8.689E-01   1.990E+00   4.36     1.172E-01      2.008E-09     0.000E+00      0.000E+00       0.000E+00      2.213E-03      4.392E-03  
950.37   959.01   956.74   4150.08   -1.204E-01   1.671E+00   3.54     1.192E-01      8.828E-11     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
1328.08   1334.61   1338.05   4101.08   -8.596E-01   4.326E+00   4.32     1.183E-01      2.304E-09     0.000E+00      0.000E+00       0.000E+00      2.210E-03      4.392E-03  
958.75   967.87   962.20   3358.58   -2.150E-02   4.895E-01   3.12     1.195E-01      2.764E-12     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
681.05   681.71   685.49   3477.96   -2.383E-01   1.027E+00   3.00     1.190E-01      6.726E-10     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
1071.17   1076.66   1077.95   3700.42   -6.961E-01   4.297E+00   4.32     1.188E-01      2.322E-09     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
1992.08   1994.89   1992.73   4475.84   8.009E-01   6.035E-01   3.68     1.179E-01      8.895E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
1061.76   1065.09   1062.05   3720.14   -5.846E-01   4.110E+00   3.14     1.172E-01      1.667E-09     0.000E+00      0.000E+00       0.000E+00      2.214E-03      4.392E-03  
781.16   789.70   782.08   4187.30   -1.381E-01   2.205E+00   4.95     1.192E-01      1.717E-10     0.000E+00      0.000E+00       0.000E+00      2.211E-03      4.392E-03  
959.14   959.93   964.09   3110.98   -5.257E-01   2.692E+00   4.47     1.174E-01      1.651E-09     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1484.90   1494.77   1492.94   3459.05   -4.819E-01   2.823E+00   3.26     1.185E-01      5.794E-10     0.000E+00      0.000E+00       0.000E+00      2.209E-03      4.392E-03  
996.31   1004.02   996.46   2561.01   -3.021E-01   2.519E+00   4.63     1.186E-01      5.055E-10     0.000E+00      0.000E+00       0.000E+00      2.212E-03      4.392E-03  
1561.62   1569.55   1568.69   4069.04   -5.175E-03   3.780E+00   3.86     1.183E-01      6.041E-14     0.000E+00      0.000E+00       0.000E+00      2.208E-03      4.392E-03  
739.53   746.26   740.01   3870.41   -2.431E-01   5.162E-01   3.56     1.172E-01      5.937E-10     0.000E+00      0.000E+00       0.000E+00      2.213E-03      4.392E-03  
1285.44   1288.56   1287.82   4268.29   -8.245E-01   9.362E-01   4.18     1.175E-01      2.262E-09     0.000E+00      0.000E+00       0.000E+00      2.213E-03      4.392E-03  
