pto.		 MR		 a		 ld		 ld345		 Mh1		 Mh2		 Mhc		 cs_(fb) 
1		2000.00		3.00		1.00		1.00		1200.00		1200.00		1200.00		1.5682E+01 
18		2000.00		3.00		1.00		-0.10		1600.00		2000.00		2000.00		1.5591E+01 
2		2100.00		3.00		1.00		1.00		1200.00		1200.00		1200.00		1.1025E+01
40		2100.00		3.00		1.00		-0.10		1600.00		1600.00		1200.00		1.1020E+01 
3		2200.00		3.00		1.00		1.00		1200.00		1200.00		1200.00		7.8661E+00
62		2200.00		3.00		1.00		-0.10		1200.00		2000.00		1600.00		7.8571E+00 
4		2300.00		3.00		1.00		1.00		1200.00		1200.00		1200.00		5.6592E+00 
88		2300.00		3.00		1.00		-0.10		1200.00		2000.00		1200.00		5.6580E+00 
5		2400.00		3.00		1.00		1.00		1200.00		1200.00		1200.00		4.0956E+00 
120		2400.00		3.00		1.00		-0.10		1600.00		1200.00		2000.00		4.1085E+00
6		2500.00		3.00		1.00		1.00		1200.00		1200.00		1200.00		2.6697E-01
150		2500.00		3.00		1.00		-0.10		1600.00		1600.00		2000.00		2.9920E+00  
7		2600.00		3.00		1.00		1.00		1200.00		1200.00		1200.00		7.0416E-02
189		2600.00		3.00		1.00		-0.10		2000.00		2000.00		2000.00		2.1916E+00  
8		2700.00		3.00		1.00		1.00		1200.00		1200.00		1200.00		2.7911E-02
215		2700.00		3.00		1.00		-0.10		2000.00		2000.00		1600.00		1.6102E+00 
9		2800.00		3.00		1.00		1.00		1200.00		1200.00		1200.00		1.3346E-02
242		2800.00		3.00		1.00		-0.10		2000.00		2000.00		1600.00		1.2021E+00
10		2900.00		3.00		1.00		1.00		1200.00		1200.00		1200.00		7.1673E-03
270		2900.00		3.00		1.00		-0.10		2000.00		2000.00		2000.00		8.9665E-01 
11		3000.00		3.00		1.00		1.00		1200.00		1200.00		1200.00		4.1624E-03
296		3000.00		3.00		1.00		-0.10		2000.00		2000.00		1600.00		6.6836E-01
