pto.		 MR		 a		 ld		 ld345		 Mh1		 Mh2		 Mhc		 cs_(fb) 
1		2000.00		3.00		1.00		-0.10		700.00		700.00		700.00		2.3269E-01 
2		2000.00		3.00		1.00		1.00		700.00		700.00		700.00		2.3265E-01
28		2100.00		3.00		1.00		-0.10		700.00		700.00		700.00		1.2262E-01 
4		2100.00		3.00		1.00		1.00		700.00		700.00		700.00		1.2274E-01
55		2200.00		3.00		1.00		-0.10		700.00		700.00		700.00		6.7957E-02 
6		2200.00		3.00		1.00		1.00		700.00		700.00		700.00		6.7908E-02 
83		2300.00		3.00		1.00		-0.10		700.00		700.00		1100.00		7.4574E-02
8		2300.00		3.00		1.00		1.00		700.00		700.00		700.00		3.9256E-02 
110		2400.00		3.00		1.00		-0.10		700.00		700.00		1100.00		4.0112E-02
10		2400.00		3.00		1.00		1.00		700.00		700.00		700.00		2.3498E-02 
140		2500.00		3.00		1.00		-0.10		700.00		1100.00		1100.00		3.2782E-02
12		2500.00		3.00		1.00		1.00		700.00		700.00		700.00		1.4537E-02 
164		2600.00		3.00		1.00		-0.10		700.00		700.00		1100.00		1.3466E-02
14		2600.00		3.00		1.00		1.00		700.00		700.00		700.00		9.2677E-03 
191		2700.00		3.00		1.00		-0.10		700.00		700.00		1100.00		8.2973E-03 
16		2700.00		3.00		1.00		1.00		700.00		700.00		700.00		6.0716E-03 
220		2800.00		3.00		1.00		-0.10		700.00		1100.00		700.00		4.5717E-03 
18		2800.00		3.00		1.00		1.00		700.00		700.00		700.00		4.0695E-03 
245		2900.00		3.00		1.00		-0.10		700.00		700.00		1100.00		3.4786E-03 
20		2900.00		3.00		1.00		1.00		700.00		700.00		700.00		2.7935E-03 
277		3000.00		3.00		1.00		-0.10		700.00		1500.00		700.00		2.3901E-03  
22		3000.00		3.00		1.00		1.00		700.00		700.00		700.00		1.9590E-03 
